dift	punkt	aeg	F1	F2
ui	5	0.09783333333333333	287.1574736389298	967.0570779646911
ui	6	0.1028	306.3786567867631	924.4404906499259
ui	7	0.10776666666666668	320.990062232763	959.336345002424
ui	8	0.11273333333333332	319.0129935916053	976.9572108378602
ui	9	0.1177	312.14199157278887	986.6666620122894
ui	10	0.12266666666666667	299.46476141863303	1004.0664527769684
ui	11	0.12763333333333332	285.7379468331295	1046.9388854229035
ui	12	0.1326	274.81412331273503	1104.7489408016904
ui	13	0.13756666666666667	264.3589210622264	1149.1711495592701
ui	14	0.14253333333333335	267.38711645957164	1190.3979746817681
ui	15	0.14750000000000002	293.7753242414622	1277.823997179874
ui	16	0.15246666666666667	321.57998702013737	1398.8402257958835
ui	17	0.15743333333333334	333.4191090276148	1502.8582870841562
ui	18	0.1624	336.96181443764164	1588.0811568180286
ui	19	0.16736666666666666	337.9641200118762	1675.776267544452
ui	20	0.17233333333333334	336.942788438752	1764.2637448782805
ui	21	0.1773	335.16066177993986	1849.1854094708908
ui	22	0.1822666666666667	332.9646038288644	1935.8644686903033
ui	23	0.18723333333333336	329.44678734808866	2008.7624432636671
ui	24	0.19220000000000004	323.6621330001074	2060.824415017504
ui	25	0.19716666666666668	315.45611213921194	2090.2737133521996
ɤi	5	0.10433333333333333	434.5043323111183	1139.0311403035362
ɤi	6	0.1086	448.5661108513513	1181.3871532410585
ɤi	7	0.11286666666666667	454.8332934818555	1219.551898089993
ɤi	8	0.11713333333333334	457.84351178222033	1248.615756611723
ɤi	9	0.12140000000000001	460.24079552769206	1273.9541481634399
ɤi	10	0.12566666666666668	463.1597896036014	1312.5910318545903
ɤi	11	0.12993333333333335	467.6318143348473	1371.1280767161722
ɤi	12	0.1342	469.2492992663121	1437.9100974821265
ɤi	13	0.13846666666666668	464.98632839932554	1492.3908750072026
ɤi	14	0.14273333333333332	458.0714848067098	1535.1324985507545
ɤi	15	0.14700000000000002	451.6148808287957	1577.2104965084873
ɤi	16	0.15126666666666666	445.79528217677495	1619.1000410045294
ɤi	17	0.15553333333333336	439.1228720618568	1652.0810789977836
ɤi	18	0.1598	430.77621972283333	1680.2084951406518
ɤi	19	0.16406666666666667	420.30701013324096	1705.9524092024278
ɤi	20	0.16833333333333333	408.9446566927052	1724.2674019718772
ɤi	21	0.1726	400.2103250151611	1737.6145273506038
ɤi	22	0.17686666666666667	396.29380501372526	1753.7510561273502
ɤi	23	0.18113333333333334	395.4170444082143	1769.7287770635455
ɤi	24	0.1854	397.04569901694896	1775.509138003106
ɤi	25	0.18966666666666668	399.9204558156478	1762.6654961245847
ɤe	5	0.15666666666666665	471.8960548133985	1094.9408663939946
ɤe	6	0.1644	470.1554345408511	1121.395033475341
ɤe	7	0.17213333333333333	471.4824742923752	1139.9829910361864
ɤe	8	0.17986666666666665	468.3361772726733	1147.3258906425797
ɤe	9	0.1876	466.4255514233113	1152.1906195636182
ɤe	10	0.1953333333333333	471.048753767661	1166.5591615811697
ɤe	11	0.20306666666666665	476.44484269886254	1180.1509422374693
ɤe	12	0.2108	482.13390806872417	1188.8389643120493
ɤe	13	0.21853333333333333	488.9343426046983	1217.6170440713609
ɤe	14	0.22626666666666667	489.0459452479232	1271.9435885143682
ɤe	15	0.23399999999999999	485.61892134750707	1283.8014754300386
ɤe	16	0.2417333333333333	485.77741197303095	1296.902173027565
ɤe	17	0.24946666666666664	486.7149093748942	1350.2695278210435
ɤe	18	0.2572	486.89122042957825	1387.4896402208824
ɤe	19	0.2649333333333333	487.3480551926256	1432.6837888057812
ɤe	20	0.2726666666666666	491.0284651845333	1453.7994674877232
ɤe	21	0.2804	499.9990506224861	1463.6203263737264
ɤe	22	0.2881333333333333	508.77144791734344	1485.179953578064
ɤe	23	0.29586666666666667	503.8493310914402	1498.0226377682175
ɤe	24	0.3036	493.65312095481124	1488.287715959603
ɤe	25	0.31133333333333335	490.3592013003576	1476.881104794575
ɑi	5	0.0945	666.8429201345123	1123.648944294699
ɑi	6	0.1	679.5324975269882	1123.5766547281535
ɑi	7	0.10550000000000001	683.4345192205086	1134.9034526457863
ɑi	8	0.11100000000000002	681.8336413941458	1149.8304247938913
ɑi	9	0.1165	667.5092427825707	1172.7555312861327
ɑi	10	0.122	646.3863343957872	1196.8532379592355
ɑi	11	0.1275	632.6607401140311	1212.8005630036976
ɑi	12	0.133	620.1538420205356	1225.617761183334
ɑi	13	0.1385	609.7656062625022	1243.9536168295065
ɑi	14	0.14400000000000002	612.1115795298574	1290.8521213918652
ɑi	15	0.14950000000000002	612.9144208279945	1369.0317247152836
ɑi	16	0.15500000000000003	589.3930122485812	1434.1687473271445
ɑi	17	0.1605	556.0501154938419	1474.8701188358866
ɑi	18	0.166	533.7311563162207	1517.025885461
ɑi	19	0.17149999999999999	520.6888534090776	1568.2749694264824
ɑi	20	0.177	509.748045180476	1620.0671313110508
ɑi	21	0.1825	496.9540169854834	1668.5302891987062
ɑi	22	0.188	481.3663135104883	1705.6330695441068
ɑi	23	0.1935	460.24936748417355	1720.543999168879
ɑi	24	0.199	436.0523464401455	1732.831083352229
ɑi	25	0.20450000000000002	408.54080856516805	1746.3580856460137
eɑ	5	0.134	475.25111240941135	1535.4040207668331
eɑ	6	0.14100000000000001	484.8210902576816	1509.4941184255667
eɑ	7	0.14800000000000002	490.0992932822543	1458.4638863495377
eɑ	8	0.155	487.6342090278738	1398.8636313030418
eɑ	9	0.162	491.30641597009236	1353.1231389254644
eɑ	10	0.16899999999999998	432.34521875792984	1273.560310137803
eɑ	11	0.176	433.7581850335163	1222.9105141648183
eɑ	12	0.183	484.4867310436431	1201.8642724824092
eɑ	13	0.19	562.0988412881532	1184.1422123081852
eɑ	14	0.197	607.2949788795293	1139.0656301748795
eɑ	15	0.20400000000000001	616.8764736827427	1114.1950960896513
eɑ	16	0.211	612.1037461725805	1110.9217624778807
eɑ	17	0.218	615.7156170990936	1100.6481356435145
eɑ	18	0.225	623.0047199071917	1084.6333412058757
eɑ	19	0.23199999999999998	622.1192586353521	1078.2328222786784
eɑ	20	0.239	627.5054052059052	1074.2477868556557
eɑ	21	0.246	637.2569390565498	1071.7682056467506
eɑ	22	0.253	646.2686609830663	1057.6196369154586
eɑ	23	0.26	663.4472540692805	1022.2442338548541
eɑ	24	0.267	660.5518799066033	1008.1936172569016
eɑ	25	0.274	635.2646638850624	1016.0825748612945
